@relation Quiniela
@attribute team1-id numeric
@attribute team2-id numeric
@attribute percent-match-local-win numeric
@attribute percent-match-local-defeat numeric
@attribute percent-match-draw numeric
@attribute percent-team1-win numeric
@attribute percent-team2-win numeric
@attribute percent-team1-seasonWins numeric
@attribute percent-team1-seasonLocalWins numeric
@attribute percent-team1-seasonLocalDraws numeric
@attribute percent-team1-seasonLocalDefeats numeric
@attribute team1-average numeric
@attribute team1-local-average numeric
@attribute team1-average-ppm numeric
@attribute team1-streak numeric
@attribute team1-players-value numeric
@attribute team1-average-player-value numeric
@attribute percent-team2-seasonWins numeric
@attribute percent-team2-seasonVisitorWins numeric
@attribute percent-team2-seasonVisitorDraws numeric
@attribute percent-team2-seasonVisiorDefeats numeric
@attribute team2-average numeric
@attribute team2-local-average numeric
@attribute team2-average-ppm numeric
@attribute team2-streak numeric
@attribute team2-players-value numeric
@attribute team2-average-player-value numeric
@attribute type {'v','e','d'}
@data
35.0, 34.0, 0.625, 0.0, 0.375, 0.5, 0.125, 0.25, 0.0, 0.5, 0.5, -0.3333333333333333, -0.5, 0.0, 0.0, 4723.802600531603, 205.38272176224362, 0.5, 1.0, 0.0, 0.0, -0.6, 0.0, 1.5, -2.0, 4617.880909698582, 171.0326262851327, d
173.0, 34.0, 0.75, 0.25, 0.0, 0.25, 0.75, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, 0.5, 0.2, 0.0, -3.0, 4465.170788526372, 165.37669587134712, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, -0.2, 0.0, 1.1666666666666667, 1.0, 4617.880909698582, 171.0326262851327, v
7.0, 34.0, 0.3684210526315789, 0.21052631578947367, 0.42105263157894735, 0.3684210526315789, 0.21052631578947367, 0.5714285714285714, 0.5, 0.25, 0.25, -0.2, 0.0, 1.0, 1.0, 4205.624544657835, 155.76387202436425, 0.2857142857142857, 0.5, 0.25, 0.25, -0.16666666666666666, 0.0, 1.1428571428571428, 0.0, 4617.880909698582, 171.0326262851327, e
39.0, 34.0, 0.34210526315789475, 0.18421052631578946, 0.47368421052631576, 0.2894736842105263, 0.23684210526315788, 0.23076923076923078, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, -0.06666666666666667, -0.15789473684210525, 1.0, -2.0, 4458.160144241021, 165.1170423792971, 0.38461538461538464, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, -0.15384615384615385, -0.25, 1.1538461538461537, 0.0, 4617.880909698582, 171.0326262851327, e
5.0, 34.0, 0.2, 0.2, 0.6, 0.0, 0.4, 0.35294117647058826, 0.4444444444444444, 0.4444444444444444, 0.1111111111111111, 0.1836734693877551, 0.23809523809523808, 1.0, 1.0, 4871.178535834524, 187.35302060902015, 0.35294117647058826, 0.4444444444444444, 0.3333333333333333, 0.2222222222222222, -0.15789473684210525, -0.2727272727272727, 1.1176470588235294, 0.0, 4617.880909698582, 171.0326262851327, e
33.0, 34.0, 0.21875, 0.125, 0.65625, 0.1875, 0.15625, 0.47368421052631576, 0.6, 0.2, 0.2, 0.13043478260869565, 0.23809523809523808, 1.0, 2.0, 4801.681714223219, 228.65151020110568, 0.3157894736842105, 0.4, 0.3, 0.3, -0.19047619047619047, -0.42857142857142855, 1.0, -2.0, 4617.880909698582, 171.0326262851327, v
2.0, 34.0, 0.275, 0.25, 0.475, 0.375, 0.15, 0.6363636363636364, 0.9090909090909091, 0.09090909090909091, 0.0, 0.3103448275862069, 0.7241379310344828, 1.0, 3.0, 5254.020675938909, 202.07771830534267, 0.2727272727272727, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, -0.13725490196078433, -0.4, 0.9090909090909091, -4.0, 4617.880909698582, 171.0326262851327, e
1.0, 34.0, 0.3, 0.125, 0.575, 0.2, 0.225, 0.5833333333333334, 0.75, 0.25, 0.0, 0.13253012048192772, 0.5111111111111111, 1.0, 1.0, 5808.013979792188, 215.11162888119216, 0.25, 0.3076923076923077, 0.3076923076923077, 0.38461538461538464, -0.047619047619047616, -0.391304347826087, 0.8333333333333334, -4.0, 4617.880909698582, 171.0326262851327, v
4.0, 34.0, 0.0, 1.0, 0.0, 0.5, 0.5, 0.2222222222222222, 0.46153846153846156, 0.15384615384615385, 0.38461538461538464, 0.2926829268292683, 0.18181818181818182, 0.0, -1.0, 4530.247856131697, 181.20991424526787, 0.25925925925925924, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.02702702702702703, -0.3076923076923077, 0.8518518518518519, -2.0, 4617.880909698582, 171.0326262851327, v
36.0, 34.0, 0.3888888888888889, 0.1388888888888889, 0.4722222222222222, 0.16666666666666666, 0.3611111111111111, 0.41379310344827586, 0.6428571428571429, 0.14285714285714285, 0.21428571428571427, 0.2753623188405797, 0.4146341463414634, 1.0, -1.0, 5257.0687821499305, 262.8534391074965, 0.2413793103448276, 0.26666666666666666, 0.26666666666666666, 0.4666666666666667, 0.03896103896103896, -0.3333333333333333, 0.7931034482758621, -2.0, 4617.880909698582, 171.0326262851327, v
7.0, 35.0, 0.4166666666666667, 0.16666666666666666, 0.4166666666666667, 0.4166666666666667, 0.16666666666666666, 1.0, 1.0, 0.0, 0.0, 0.2, 0.2, 2.0, 1.0, 4205.624544657835, 155.76387202436425, 0.0, 0.0, 0.0, 1.0, 0.2, 0.0, 0.0, -1.0, 4723.802600531603, 205.38272176224362, v
